### 1. Содержательный анализ выполнения задания, проверяющего умение "уметь выполнять действия с геометрическими фигурами, координатами и векторами":

| год | Номер задания в КИМ | Уровень сложности задания | средний, % | не преодолели минимум, % | до 60 т.б., % | 61–80 т.б., % | 81–100 т.б., % |
| год | Номер задания в КИМ | Уровень сложности задания | средний, % | не преодолели минимум, % | до 60 т.б., % | 61–80 т.б., % | 81–100 т.б., % |
|-----|----------------------|----------------------------|-----------:|--------------------------:|--------------:|--------------:|---------------:|
|2025|8|Б|76,4|11,9|62,6|93,0|98,2|
|2024|8|Б|57,8|8,6|34,8|74,4|92,8|
|2023|7|Б|80,5|8,6|69,7|96,7|100|
|2025|11|П|70,3|6,0|46,0|94,7|99,2|
|2024|11|П|86,4|27,3|77,5|98,7|99,8|
|2023|10|П|75,2|7,6|59|97,3|100|
|2025|12|П|74,8|9,5|59,6|92,9|95,9|
|2024|12|П|68,3|4|48,2|87,5|94|
|2023|11|П|54,1|7,6|29,5|83,3|93,5|


### 7. Содержательный анализ выполнения задания, проверяющего умение "уметь решать уравнения и неравенства (повышенный уровень)":

| год | Номер задания в КИМ | Показатель баллов | средний, % | не преодолели минимум, % | до 60 т.б., % | 61–80 т.б., % | 81–100 т.б., % |
|-----|----------------------|----------------------------|-----------:|--------------------------:|--------------:|--------------:|---------------:|
|2025|13|средний|33,1|0,2|1,4|53,1|94,1|
|2025|13|2 балла| |0,0|1,1|50,6|92,8|
|2025|13|1 балл| |0,4|0,7|5,0|2,6|
|2024|13|средний|45|0,00|8,3|68,5|95,3|
|2024|13|2 балла| |0,00|5,3|63,7|93,4|
|2024|13|1 балл| |0,00|5,8|9,6|3,8|
|2023|12|средний|41,2|0,00|7,4|79,9|94,4|
|2023|12|2 балла| |0,00|5,5|76,3|92,7|
|2023|12|1 балл| |0,00|3,9|7,2|3,2|
|2025|15|средний|17,8|0,0|0,7|21,5|84,4|
|2025|15|2 балла| |0,0|0,6|21,0|83,6|
|2025|15|1 балл| |0,0|0,1|1,2|1,5|
|2024|15|средний|19,4|0,00|0,2|16,8|85,1|
|2024|15|2 балла| |0,00|0,1|16|84,1|
|2024|15|1 балл| |0,00|0,2|1,6|2|
|2023|14|средний|14|0,00|0,1|25,3|91,5|
|2023|14|2 балла| |0,00|0,1|24,4|89,5|
|2023|14|1 балл| |0,00|0,00|1,8|4|


### 8. Содержательный анализ выполнения задания, проверяющего умение "уметь решать уравнения и неравенства (высокий уровень)":

| год | Номер задания в КИМ | Показатель баллов | средний, % | не преодолели минимум, % | до 60 т.б., % | 61–80 т.б., % | 81–100 т.б., % |
|-----|----------------------|----------------------------|-----------:|--------------------------:|--------------:|--------------:|---------------:|
|2025|18|средний|2,3|0,0|0,0|1,2|18,7|
|2025|18|4 балла| |0,0|0,0|0,0|7,7|
|2025|18|3 балла| |0,0|0,0|0,0|0,3|
|2025|18|2 балла| |0,0|0,0|0,5|9,0|
|2025|18|1 балл| |0,0|0,2|3,7|25,4|
|2024|18|средний|7,4|0,00|0,00|1,6|46|
|2024|18|4 балла| |0,00|0,00|0,4|40,2|
|2024|18|3 балла| |0,00|0,00|0,1|0,4|
|2024|18|2 балла| |0,00|0,00|0,4|5,6|
|2024|18|1 балл| |0,00|0,00|3,8|10,8|
|2023|17|средний|4,9|0,00|0,1|6,1|64,9|
|2023|17|4 балла| |0,00|0,00|1,3|46|
|2023|17|3 балла| |0,00|0,00|0,3|4,8|
|2023|17|2 балла| |0,00|0,00|2,3|17,7|
|2023|17|1 балл| |0,00|0,4|13,8|25,8|


### 9. Содержательный анализ выполнения задания, проверяющего умение "уметь использовать приобретенные знания и умения в практической деятельности и повседневной жизни (повышенный уровень)":

| год | Номер задания в КИМ | Показатель баллов | средний, % | не преодолели минимум, % | до 60 т.б., % | 61–80 т.б., % | 81–100 т.б., % |
|-----|----------------------|----------------------------|-----------:|--------------------------:|--------------:|--------------:|---------------:|
|2025|16|средний|9,2|0,0|0,2|7,7|60,9|
|2025|16|2 балла| |0,0|0,1|6,1|57,2|
|2025|16|1 балл| |0,0|0,2|3,2|7,4|
|2024|16|средний|27,9|0,3|3,6|34,6|84,6|
|2024|16|2 балла| |0|1|20,1|73,3|
|2024|16|1 балл| |0,5|5,2|29,1|22,7|
|2023|15|средний|8,3|0,0|0,4|12,4|79|
|2023|15|2 балла| |0,0|0,2|9,1|72,6|
|2023|15|1 балл| |0,0|1,6|10,6|9|


### 10. Содержательный анализ выполнения задания, проверяющего умение "уметь выполнять действия с геометрическими фигурами, координатами и векторами (повышенный уровень)":

| год | Номер задания в КИМ | Показатель баллов | средний, % | не преодолели минимум, % | до 60 т.б., % | 61–80 т.б., % | 81–100 т.б., % |
|-----|----------------------|----------------------------|-----------:|--------------------------:|--------------:|--------------:|---------------:|
|2025|14|средний|3,2|0,0|0,1|1,3|27,4|
|2025|14|3 балла| |0,0|0,0|0,1|16,4|
|2025|14|2 балла| |0,0|0,0|0,1|2,6|
|2025|14|1 балл| |0,0|0,4|3,6|27,7|
|2024|14|средний|3,1|0,00|0,1|0,3|19,6|
|2024|14|3 балла| |0,00|0,00|0,1|12,9|
|2024|14|2 балла| |0,00|0,00|0,00|2|
|2024|14|1 балл| |0,00|0,4|0,6|16,3|
|2023|13|средний|1,2|0,00|0,1|1|21,5|
|2023|13|3 балла| |0,00|0,00|0,00|10,5|
|2023|13|2 балла| |0,00|0,00|0,1|1,6|
|2023|13|1 балл| |0,00|0,2|2,9|29,8|
|2025|17|средний|11,0|0,0|0,5|9,2|71,5|
|2025|17|3 балла| |0,0|0,0|4,4|64,4|
|2025|17|2 балла| |0,0|0,0|1,2|3,3|
|2025|17|1 балл| |0,0|1,4|11,8|14,9|
|2024|17.|средний|9,6|0,00|0,2|5|53,3|
|2024|17.|3 балла| |0,00|0,00|1,4|42,6|
|2024|17.|2 балла| |0,00|0,00|0,1|5|
|2024|17.|1 балл| |0,00|0,5|7,8|22,1|
|2023|16.|средний|2,3|0,00|0,1|3,2|25,8|
|2023|16.|3 балла| |0,00|0,00|0,1|4|
|2023|16.|2 балла| |0,00|0,00|0,00|0|
|2023|16.|1 балл| |0,00|0,4|9,3|65,3|


### 11. Содержательный анализ выполнения задания, проверяющего умение "уметь строить и исследовать простейшие математические модели (высокий уровень)":

| год | Номер задания в КИМ | Показатель баллов | средний, % | не преодолели минимум, % | до 60 т.б., % | 61–80 т.б., % | 81–100 т.б., % |
|-----|----------------------|----------------------------|-----------:|--------------------------:|--------------:|--------------:|---------------:|
|2025|19|средний|1,0|0,1|0,0|0,3|8,8|
|2025|19|4 балла| |0,0|0,0|0,0|4,4|
|2025|19|3 балла| |0,0|0,0|0,0|0,8|
|2025|19|2 балла| |0,0|0,0|0,2|4,1|
|2025|19|1 балл| |0,4|0,2|1,0|7,4|
|2024|19|средний|7,2|0,00|1,7|6|27,9|
|2024|19|4 балла| |0,00|0,00|0,6|13,1|
|2024|19|3 балла| |0,00|0,00|0,5|4,4|
|2024|19|2 балла| |0,00|0,2|1,1|6,8|
|2024|19|1 балл| |0,00|0,5|17,9|32,5|
|2023|18.|средний|7,1|4,5|2,3|8,6|59,1|
|2023|18.|4 балла| |0,00|0,00|0,3|34,7|
|2023|18.|3 балла| |0,00|0,00|0,2|4,8|
|2023|18.|2 балла| |0,00|1|7|36,3|
|2023|18.|1 балл| |18,1|7,2|18,4|10,5|
